max_player_depth;min_player_depth;avg_time;won;lost;draw;total_st_max_pl;total_st_min_pl;if_ab_cut_max_pl;if_ab_cut_min_pl
7;5;2.033513069152832;0;0;1;68746;8357;True;True
7;5;18.15465497970581;0;0;1;619858;66312;True;False
7;5;18.233051538467407;0;0;1;619858;66312;False;True
7;5;18.015820503234863;0;0;1;619858;66312;False;False
7;6;2.0064785480499268;0;0;1;68746;8357;True;True
7;6;18.094566822052002;0;0;1;619858;66312;True;False
7;6;18.117877960205078;0;0;1;619858;66312;False;True
7;6;17.842816829681396;0;0;1;619858;66312;False;False
7;7;2.060483694076538;0;0;1;68746;8357;True;True
7;7;18.078026056289673;0;0;1;619858;66312;True;False
7;7;18.081751823425293;0;0;1;619858;66312;False;True
7;7;18.09871768951416;0;0;1;619858;66312;False;False
7;8;2.104374647140503;0;0;1;68746;8357;True;True
7;8;18.085297107696533;0;0;1;619858;66312;True;False
7;8;18.033201694488525;0;0;1;619858;66312;False;True
7;8;17.92028570175171;0;0;1;619858;66312;False;False
7;9;2.043294906616211;0;0;1;68746;8357;True;True
7;9;18.054274320602417;0;0;1;619858;66312;True;False
7;9;18.14595937728882;0;0;1;619858;66312;False;True
7;9;18.17082381248474;0;0;1;619858;66312;False;False
8;0;0.007905244827270508;1;0;0;28;3;True;True
8;0;0.007977724075317383;1;0;0;28;3;True;False
8;0;0.012431621551513672;1;0;0;28;3;False;True
8;0;0.0066471099853515625;1;0;0;28;3;False;False
8;1;0.06231069564819336;0;0;1;492;92;True;True
8;1;0.11616206169128418;0;0;1;950;124;True;False
8;1;0.12752199172973633;0;0;1;950;124;False;True
8;1;0.12258696556091309;0;0;1;950;124;False;False
8;2;0.44867610931396484;0;0;1;5520;921;True;True
8;2;1.802894115447998;0;0;1;22114;2556;True;False
8;2;1.7932734489440918;0;0;1;22114;2556;False;True
8;2;1.8289422988891602;0;0;1;22114;2556;False;False
8;3;1.3554141521453857;0;0;1;31634;4182;True;True
8;3;10.554083585739136;0;0;1;235378;25992;True;False
8;3;10.37468695640564;0;0;1;235378;25992;False;True
8;3;10.36641001701355;0;0;1;235378;25992;False;False
8;4;2.04012131690979;0;0;1;68746;8357;True;True
8;4;18.1671245098114;0;0;1;619858;66312;True;False
8;4;18.168282985687256;0;0;1;619858;66312;False;True
8;4;17.967981100082397;0;0;1;619858;66312;False;False
8;5;2.003570795059204;0;0;1;68746;8357;True;True
8;5;18.156615257263184;0;0;1;619858;66312;True;False
8;5;18.152124881744385;0;0;1;619858;66312;False;True
8;5;17.94083333015442;0;0;1;619858;66312;False;False
8;6;2.060408115386963;0;0;1;68746;8357;True;True
8;6;18.09331750869751;0;0;1;619858;66312;True;False
8;6;18.25249195098877;0;0;1;619858;66312;False;True
8;6;17.884755611419678;0;0;1;619858;66312;False;False
8;7;2.033348560333252;0;0;1;68746;8357;True;True
8;7;18.12827754020691;0;0;1;619858;66312;True;False
8;7;18.040222644805908;0;0;1;619858;66312;False;True
8;7;18.017004251480103;0;0;1;619858;66312;False;False
8;8;2.0285775661468506;0;0;1;68746;8357;True;True
8;8;18.14670991897583;0;0;1;619858;66312;True;False
8;8;18.198954820632935;0;0;1;619858;66312;False;True
8;8;18.173418760299683;0;0;1;619858;66312;False;False
8;9;2.0441906452178955;0;0;1;68746;8357;True;True
8;9;18.167683839797974;0;0;1;619858;66312;True;False
8;9;18.251516580581665;0;0;1;619858;66312;False;True
8;9;17.955405950546265;0;0;1;619858;66312;False;False
9;0;0.008838891983032227;1;0;0;28;3;True;True
9;0;0.008225440979003906;1;0;0;28;3;True;False
9;0;0.009380578994750977;1;0;0;28;3;False;True
9;0;0.006511688232421875;1;0;0;28;3;False;False
9;1;0.07388544082641602;0;0;1;492;92;True;True
